Date,Price,Open,High,Low,Vol.,Change %
"Oct 08, 2015","2,006.50","1,987.75","2,008.75","1,971.00",1.80M,0.97%
"Oct 09, 2015","2,007.50","2,004.00","2,014.00","1,998.75",1.38M,0.05%
"Oct 12, 2015","2,011.00","2,005.25","2,014.00","2,001.75",804.58K,0.17%
"Oct 13, 2015","1,994.00","2,012.00","2,014.75","1,991.25",1.52M,-0.85%
"Oct 14, 2015","1,984.00","1,991.50","2,001.75","1,982.50",1.78M,-0.50%
"Oct 15, 2015","2,019.00","1,985.75","2,019.50","1,985.00",1.73M,1.76%
"Oct 16, 2015","2,025.50","2,018.25","2,026.50","2,012.25",1.36M,0.32%
"Oct 19, 2015","2,027.50","2,024.50","2,028.00","2,014.25",1.31M,0.10%
"Oct 20, 2015","2,020.50","2,026.50","2,031.50","2,018.50",1.28M,-0.35%
"Oct 21, 2015","2,008.50","2,019.75","2,034.25","2,007.50",1.79M,-0.59%
"Oct 22, 2015","2,053.00","2,010.50","2,056.00","2,008.50",2.10M,2.22%
"Oct 23, 2015","2,066.00","2,054.25","2,074.50","2,053.25",2.07M,0.63%
"Oct 26, 2015","2,062.25","2,066.00","2,068.00","2,057.50",1.18M,-0.18%
"Oct 27, 2015","2,060.50","2,063.75","2,064.75","2,051.25",1.24M,-0.08%
"Oct 28, 2015","2,084.50","2,062.00","2,085.25","2,055.50",1.89M,1.16%
"Oct 29, 2015","2,083.00","2,081.00","2,086.50","2,073.25",1.41M,-0.07%
"Oct 30, 2015","2,073.75","2,084.75","2,094.75","2,069.75",1.75M,-0.44%
"Nov 02, 2015","2,095.50","2,073.00","2,100.00","2,064.25",1.28M,1.05%
"Nov 03, 2015","2,103.00","2,093.25","2,110.25","2,089.00",1.35M,0.36%
"Nov 04, 2015","2,094.75","2,102.50","2,109.75","2,090.50",1.55M,-0.39%
"Nov 05, 2015","2,094.00","2,095.50","2,104.75","2,084.00",1.54M,-0.04%
"Nov 06, 2015","2,093.75","2,094.75","2,099.00","2,077.50",1.85M,-0.01%
"Nov 09, 2015","2,073.00","2,092.00","2,097.75","2,062.00",1.86M,-0.99%
"Nov 10, 2015","2,078.00","2,072.25","2,079.00","2,064.50",1.29M,0.24%
"Nov 11, 2015","2,069.00","2,076.50","2,087.25","2,067.75",1.17M,-0.43%
"Nov 12, 2015","2,040.50","2,068.50","2,077.50","2,039.50",1.81M,-1.38%
"Nov 13, 2015","2,018.50","2,040.50","2,046.00","2,011.50",2.13M,-1.08%
"Nov 16, 2015","2,048.00","2,006.50","2,051.00","1,998.50",1.71M,1.46%
"Nov 17, 2015","2,049.00","2,047.75","2,063.50","2,041.50",1.62M,0.05%
"Nov 18, 2015","2,079.75","2,049.75","2,082.50","2,043.00",1.54M,1.50%
"Nov 19, 2015","2,079.25","2,078.25","2,089.25","2,075.25",1.28M,-0.02%
"Nov 20, 2015","2,088.75","2,078.25","2,094.50","2,076.00",1.27M,0.46%
"Nov 23, 2015","2,084.25","2,089.75","2,093.00","2,078.25",976.10K,-0.22%
"Nov 24, 2015","2,084.75","2,083.00","2,091.50","2,065.50",1.52M,0.02%
"Nov 25, 2015","2,088.00","2,084.00","2,092.50","2,082.25",746.32K,0.16%
"Nov 26, 2015","2,095.75","2,089.50","2,098.25","2,088.50",-,0.37%
"Nov 27, 2015","2,090.00","2,089.50","2,098.25","2,081.50",653.39K,-0.27%
"Nov 30, 2015","2,079.75","2,089.50","2,095.00","2,078.50",1.39M,-0.49%
"Dec 01, 2015","2,100.00","2,085.50","2,101.50","2,083.50",1.48M,0.97%
"Dec 02, 2015","2,081.50","2,099.50","2,105.00","2,075.00",1.73M,-0.88%
"Dec 03, 2015","2,051.25","2,083.25","2,095.25","2,040.00",2.66M,-1.45%
"Dec 04, 2015","2,088.50","2,053.25","2,093.00","2,046.75",2.27M,1.82%
"Dec 07, 2015","2,081.00","2,092.25","2,095.50","2,064.50",1.70M,-0.36%
"Dec 08, 2015","2,058.75","2,080.00","2,081.50","2,050.25",2.01M,-1.07%
"Dec 09, 2015","2,042.00","2,059.50","2,079.75","2,034.25",2.69M,-0.81%
"Dec 10, 2015","2,049.25","2,045.75","2,067.00","2,043.75",1.81M,0.36%
"Dec 11, 2015","2,009.75","2,050.75","2,056.25","2,005.00",1.58M,-1.93%
"Dec 14, 2015","2,018.50","2,008.00","2,028.25","1,992.25",1.27M,0.44%
"Dec 15, 2015","2,045.50","2,021.75","2,054.00","2,019.00",1.04M,1.34%
"Dec 16, 2015","2,072.00","2,046.00","2,077.00","2,040.00",575.72K,1.30%
"Dec 17, 2015","2,034.25","2,069.75","2,082.25","2,032.50",408.50K,-1.82%
"Dec 18, 2015","2,029.72","2,033.25","2,040.25","2,022.00",63.21K,-0.22%
"Dec 21, 2015","2,015.00","1,997.25","2,019.50","1,995.25",1.28M,-0.73%
"Dec 22, 2015","2,036.00","2,017.00","2,036.50","2,007.25",1.14M,1.04%
"Dec 23, 2015","2,053.00","2,034.00","2,057.75","2,030.75",1.00M,0.83%
"Dec 24, 2015","2,051.25","2,052.75","2,059.75","2,049.00",325.21K,-0.09%
"Dec 28, 2015","2,048.75","2,051.25","2,054.50","2,035.25",696.45K,-0.12%
"Dec 29, 2015","2,072.75","2,049.75","2,074.50","2,047.50",832.69K,1.17%
"Dec 30, 2015","2,054.50","2,072.00","2,075.00","2,053.50",720.60K,-0.88%
